Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-05-18,923,9736711,209
2026-05-19,62,1803308,1706
2026-05-20,41,1145202,2522
2026-05-21,95,3311943,5908
2026-05-22,9,147445,5612
2026-05-23,31,869128,4923
2026-05-24,41,966879,2508
2026-05-25,24,652713,150
2026-05-26,105,2415385,1516
2026-05-27,46,1372604,6610
2026-05-28,18,102363,2814
2026-05-29,322,5517780,998
2026-05-30,277,3324240,1153
2026-05-31,270,7480297,1761
2026-06-01,45,1499768,2324
2026-06-02,130,3513433,447
2026-06-03,30,1009729,6805
2026-06-04,40,1812479,1340
2026-06-05,22,484477,2348
2026-06-06,17,331149,78
2026-06-07,52,1522459,87
2026-06-08,27,735616,3789
2026-06-09,60,843912,107
2026-06-10,12,565200,179
