PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
20,https://estetiacrm.com.br/help/contatos/cadastrar-contatos,Como cadastrar e gerenciar contatos - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/contatos/cadastrar-contatos
https://estetiacrm.com.br/help/contatos/cadastrar-contatos
https://estetiacrm.com.br/help/contatos/cadastrar-contatos","308
200
200",Some pages are not returning 200 status code,429421057661287712,0,2
20,https://estetiacrm.com.br/help/pipeline-negocios/personalizar-etapas,Personalizando etapas do pipeline - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/pipeline-negocios/personalizar-etapas
https://estetiacrm.com.br/help/pipeline-negocios/personalizar-etapas
https://estetiacrm.com.br/help/pipeline-negocios/personalizar-etapas","308
200
200",Some pages are not returning 200 status code,604390728011386398,0,2
20,https://estetiacrm.com.br/help/pipeline-negocios/multiplos-pipelines,Criando múltiplos pipelines - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/pipeline-negocios/multiplos-pipelines
https://estetiacrm.com.br/help/pipeline-negocios/multiplos-pipelines
https://estetiacrm.com.br/help/pipeline-negocios/multiplos-pipelines","308
200
200",Some pages are not returning 200 status code,1758351869844208144,0,2
20,https://estetiacrm.com.br/help/equipe/configurar-notificacoes,Configurando notificações - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/equipe/configurar-notificacoes
https://estetiacrm.com.br/help/equipe/configurar-notificacoes
https://estetiacrm.com.br/help/equipe/configurar-notificacoes","308
200
200",Some pages are not returning 200 status code,2076208838489262082,0,2
20,https://estetiacrm.com.br/help/primeiros-passos/troubleshooting,Troubleshooting: problemas comuns e soluções - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/primeiros-passos/troubleshooting
https://estetiacrm.com.br/help/primeiros-passos/troubleshooting
https://estetiacrm.com.br/help/primeiros-passos/troubleshooting","308
200
200",Some pages are not returning 200 status code,4233601701768451167,0,2
20,https://estetiacrm.com.br/help/planos/gerenciar-assinatura,Gerenciando assinatura e pagamentos - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/planos/gerenciar-assinatura
https://estetiacrm.com.br/help/planos/gerenciar-assinatura
https://estetiacrm.com.br/help/planos/gerenciar-assinatura","308
200
200",Some pages are not returning 200 status code,4908340397003711774,0,2
20,https://estetiacrm.com.br/help/integracoes/integracao-n8n,Integrando com N8N (automação low-code) - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/integracoes/integracao-n8n
https://estetiacrm.com.br/help/integracoes/integracao-n8n
https://estetiacrm.com.br/help/integracoes/integracao-n8n","308
200
200",Some pages are not returning 200 status code,5029359823307751785,0,2
20,https://estetiacrm.com.br/help/primeiros-passos/atalhos-teclado,Atalhos de teclado do Estetia CRM - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/primeiros-passos/atalhos-teclado
https://estetiacrm.com.br/help/primeiros-passos/atalhos-teclado
https://estetiacrm.com.br/help/primeiros-passos/atalhos-teclado","308
200
200",Some pages are not returning 200 status code,5941905410786038351,0,2
20,https://estetiacrm.com.br/help/equipe/configurar-perfil,Configurando seu perfil e preferências - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/equipe/configurar-perfil
https://estetiacrm.com.br/help/equipe/configurar-perfil
https://estetiacrm.com.br/help/equipe/configurar-perfil","308
200
200",Some pages are not returning 200 status code,6550162717520567368,0,2
20,https://estetiacrm.com.br/help/pipeline-negocios/tags-custom-fields,Adicionando tags e custom fields - Central de Ajuda | Estetia CRM,text/html; charset=utf-8,false,200,0,true,"https://estetiacrm.com.br/en/help/pipeline-negocios/tags-custom-fields
https://estetiacrm.com.br/help/pipeline-negocios/tags-custom-fields
https://estetiacrm.com.br/help/pipeline-negocios/tags-custom-fields","308
200
200",Some pages are not returning 200 status code,6748610137059023628,0,2
